순서, 컬럼영문명, 컬럼한글명, 데이터타입, 길이, PK여부, NOT NULL여부
1,STR_NO,점포번호,VARCHAR,8,Y,N
2,STR_NM,점포명,VARCHAR,100,N,Y
3,ADRES,주소,VARCHAR,300,N,Y
4,JRD_PLCST_CD,관할경찰서코드,VARCHAR,20,N,N
5,JRD_PLCST_NM,관할경찰서명,VARCHAR,255,N,N
6,JRD_PTRDV_CD,관할지구대코드,VARCHAR,20,N,N
7,JRD_PTRDV_NM,관할지구대명,VARCHAR,20,N,N
8,SUSAR_CD,용도지역코드,VARCHAR,10,N,N
9,USE_AREA_NM,용도지역명,VARCHAR,30,N,N
10,SPCE_INFO,공간정보,ST_GEOMETRY,8,N,Y
